phase,group,n_rows,n_participants,completion_time_s_mean,completion_time_s_std,position_rmse_mm_mean,position_rmse_mm_std,mean_velocity_mm_s_mean,mean_velocity_mm_s_std,velocity_std_mm_s_mean,velocity_std_mm_s_std,difficulty_1_10_mean,difficulty_1_10_std
Baseline,Visual,5,5,55.884,22.469,34.380,13.692,46.600,11.473,58.840,22.643,6.800,1.643
Baseline,Visual + Haptic,5,5,57.642,18.574,27.660,5.033,40.440,6.589,50.140,11.001,6.000,1.414
Evaluation,Visual,5,5,73.966,13.836,13.920,1.612,44.400,10.380,61.620,24.285,6.400,1.140
Evaluation,Visual + Haptic,5,5,73.848,3.850,16.480,3.383,42.720,10.217,56.860,31.896,6.500,1.291
Training 1,Visual,5,5,46.848,10.727,25.600,11.009,47.600,13.466,71.720,38.315,7.200,0.837
Training 1,Visual + Haptic,5,5,58.886,6.630,23.760,8.371,45.140,13.935,73.980,42.500,6.500,0.577
Training 2,Visual,5,5,42.862,6.065,18.960,1.671,53.940,9.596,99.160,34.876,,
Training 2,Visual + Haptic,5,5,49.456,9.274,18.340,3.239,53.000,16.454,74.600,24.827,5.000,0.000
Training 3,Visual,5,5,39.164,6.500,19.340,5.026,53.840,7.790,86.720,28.626,,
Training 3,Visual + Haptic,5,5,47.184,7.233,17.720,2.235,50.080,15.137,71.120,22.103,5.500,2.121
Training 4,Visual,5,5,41.136,5.855,18.100,3.263,52.240,9.888,83.720,32.286,,
Training 4,Visual + Haptic,5,5,46.450,8.413,19.980,3.277,51.800,13.372,72.200,34.171,5.000,0.000
Training 5,Visual,5,5,40.448,5.895,16.120,3.849,49.820,11.469,83.340,23.039,6.000,1.414
Training 5,Visual + Haptic,5,5,45.916,11.570,16.980,2.282,55.840,19.314,75.040,26.381,5.000,1.414
